[2017:08:17-14:43:59] cmd: 1, targetTemp: 50.0, temp: 41.5, elapsed time: 0m 0s, line Time: 5s, protocol Time: 6m 45s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 56.0
[2017:08:17-14:44:00] cmd: 1, targetTemp: 50.0, temp: 54.1, elapsed time: 0m 1s, line Time: 4s, protocol Time: 6m 44s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 55.0
[2017:08:17-14:44:01] cmd: 1, targetTemp: 50.0, temp: 49.5, elapsed time: 0m 2s, line Time: 3s, protocol Time: 6m 43s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 61.0
[2017:08:17-14:44:02] cmd: 1, targetTemp: 50.0, temp: 49.7, elapsed time: 0m 3s, line Time: 2s, protocol Time: 6m 42s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 59.0
[2017:08:17-14:44:03] cmd: 1, targetTemp: 50.0, temp: 50.7, elapsed time: 0m 4s, line Time: 1s, protocol Time: 6m 41s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 55.0
[2017:08:17-14:44:16] cmd: 1, targetTemp: 50.0, temp: 46.6, elapsed time: 0m 0s, line Time: 5s, protocol Time: 6m 45s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 56.0
[2017:08:17-14:44:17] cmd: 1, targetTemp: 50.0, temp: 53.8, elapsed time: 0m 1s, line Time: 4s, protocol Time: 6m 44s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 59.0
[2017:08:17-14:44:18] cmd: 1, targetTemp: 50.0, temp: 49.5, elapsed time: 0m 2s, line Time: 3s, protocol Time: 6m 43s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 63.0
[2017:08:17-14:44:19] cmd: 1, targetTemp: 50.0, temp: 50.0, elapsed time: 0m 3s, line Time: 2s, protocol Time: 6m 42s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 61.0
[2017:08:17-14:44:20] cmd: 1, targetTemp: 50.0, temp: 50.4, elapsed time: 0m 4s, line Time: 1s, protocol Time: 6m 41s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 59.0
[2017:08:17-14:44:21] cmd: 1, targetTemp: 50.0, temp: 50.5, elapsed time: 0m 5s, line Time: 0s, protocol Time: 6m 40s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 60.0
[2017:08:17-14:44:22] cmd: 1, targetTemp: 95.0, temp: 50.1, elapsed time: 0m 6s, line Time: 5s, protocol Time: 6m 40s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 62.0
[2017:08:17-14:44:23] cmd: 1, targetTemp: 95.0, temp: 62.3, elapsed time: 0m 7s, line Time: 5s, protocol Time: 6m 40s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 64.0
[2017:08:17-14:44:24] cmd: 1, targetTemp: 95.0, temp: 77.0, elapsed time: 0m 8s, line Time: 5s, protocol Time: 6m 40s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 65.0
[2017:08:17-14:44:25] cmd: 1, targetTemp: 95.0, temp: 88.0, elapsed time: 0m 9s, line Time: 5s, protocol Time: 6m 40s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 64.0
[2017:08:17-14:44:26] cmd: 1, targetTemp: 95.0, temp: 95.3, elapsed time: 0m 10s, line Time: 4s, protocol Time: 6m 39s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 64.0
[2017:08:17-14:44:27] cmd: 1, targetTemp: 95.0, temp: 94.2, elapsed time: 0m 11s, line Time: 3s, protocol Time: 6m 38s, device TargetArr: 0, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 68.0
