Number	Time	Temperature
     1	      34	52.4
     2	      83	52.3
     3	     133	52.1
     4	     183	52.1
     5	     233	52.0
     6	     283	51.9
     7	     333	51.7
     8	     383	51.7
     9	     433	51.6
    10	     483	51.4
    11	     533	51.3
    12	     583	51.2
    13	     633	51.0
    14	     682	51.0
    15	     733	50.9
    16	     783	50.9
    17	     833	50.7
    18	     886	50.7
    19	     935	50.6
    20	     983	50.5
    21	    1033	50.3
    22	    1082	50.3
    23	    1133	50.2
    24	    1183	50.0
    25	    1232	50.0
    26	    1283	49.9
    27	    1333	49.9
    28	    1383	49.8
    29	    1433	49.8
    30	    1483	49.6
    31	    1533	49.6
    32	    1583	49.6
    33	    1633	49.5
    34	    1684	49.3
    35	    1734	49.2
    36	    1783	49.2
    37	    1834	49.2
    38	    1883	49.1
    39	    1933	49.1
    40	    1982	48.9
    41	    2033	48.9
    42	    2083	48.8
    43	    2133	48.8
    44	    2183	48.8
    45	    2232	48.6
    46	    2283	48.6
    47	    2333	48.5
    48	    2383	48.4
    49	    2433	48.4
    50	    2483	48.2
    51	    2533	48.4
    52	    2583	48.2
    53	    2633	48.2
    54	    2683	48.1
    55	    2733	47.9
    56	    2783	48.1
    57	    2834	47.9
    58	    2883	47.9
    59	    2933	47.8
    60	    2985	47.6
    61	    3034	47.6
    62	    3083	47.6
    63	    3133	47.5
    64	    3182	47.5
    65	    3233	47.5
    66	    3283	47.5
    67	    3333	47.3
    68	    3382	47.3
    69	    3433	47.3
    70	    3483	47.3
    71	    3533	47.2
    72	    3583	47.2
    73	    3633	47.1
    74	    3683	47.1
    75	    3733	47.1
    76	    3783	46.9
    77	    3833	46.9
    78	    3883	46.9
    79	    3933	46.9
    80	    3983	46.8
    81	    4033	46.8
    82	    4082	46.6
    83	    4133	46.6
    84	    4182	46.6
    85	    4233	46.6
    86	    4283	46.5
    87	    4332	46.5
    88	    4384	46.5
    89	    4434	46.5
    90	    4482	46.3
    91	    4533	46.3
    92	    4583	46.3
    93	    4633	46.2
    94	    4683	46.2
    95	    4733	46.2
    96	    4782	46.2
    97	    4833	46.0
    98	    4882	45.9
    99	    4938	46.0
   100	    4982	45.9
   101	    5033	45.9
   102	    5082	45.9
   103	    5134	45.9
   104	    5183	46.0
   105	    5232	46.0
   106	    5283	46.2
   107	    5333	46.3
   108	    5382	46.6
   109	    5432	46.9
   110	    5483	47.6
   111	    5533	48.1
   112	    5583	48.5
   113	    5632	49.1
   114	    5682	49.6
   115	    5732	50.3
   116	    5783	51.0
   117	    5833	51.7
   118	    5882	52.6
   119	    5933	53.2
   120	    5983	54.1
   121	    6033	54.9
   122	    6083	55.6
   123	    6133	57.1
   124	    6183	57.7
   125	    6233	58.4
   126	    6283	58.9
   127	    6333	59.3
   128	    6382	59.7
   129	    6433	60.0
   130	    6482	60.3
   131	    6533	60.4
   132	    6584	60.5
   133	    6633	60.5
   134	    6683	60.5
   135	    6733	60.4
   136	    6782	60.3
   137	    6833	60.1
   138	    6882	60.0
   139	    6935	59.9
   140	    6982	59.7
   141	    7033	59.5
   142	    7083	59.3
   143	    7159	59.1
   144	    7210	58.7
   145	    7302	58.5
   146	    7344	58.3
   147	    7383	58.0
   148	    7432	57.7
   149	    7483	57.6
   150	    7533	57.5
   151	    7583	57.2
   152	    7632	56.9
   153	    7682	56.8
   154	    7733	56.6
   155	    7783	56.5
   156	    7841	56.2
   157	    7884	56.1
   158	    7933	55.7
   159	    7982	55.6
   160	    8033	55.4
   161	    8083	55.2
   162	    8132	55.0
   163	    8183	54.9
   164	    8233	54.7
   165	    8283	54.6
   166	    8333	54.5
   167	    8382	54.3
   168	    8433	54.2
   169	    8483	54.1
   170	    8533	53.8
   171	    8583	53.8
   172	    8633	53.5
   173	    8683	53.2
   174	    8733	53.2
   175	    8783	53.1
   176	    8833	53.0
