Cycle	Time	Value
     1	      19	0.0
     2	      68	0.0
     3	     118	0.0
     4	     168	0.0
     5	     219	1.0
     6	     269	0.0
     7	     319	0.0
     8	     368	0.0
     9	     419	0.0
    10	     468	0.0
    11	     519	0.0
    12	     569	0.0
    13	     619	0.0
    14	     668	0.0
    15	     719	0.0
    16	     768	0.0
    17	     819	0.0
    18	     868	0.0
    19	     918	0.0
    20	     968	0.0
    21	    1018	0.0
    22	    1073	0.0
    23	    1119	0.0
    24	    1168	0.0
    25	    1233	0.0
    26	    1268	0.0
    27	    1318	0.0
    28	    1368	0.0
    29	    1419	0.0
    30	    1469	0.0
    31	    1519	0.0
    32	    1570	0.0
    33	    1622	0.0
    34	    1671	0.0
    35	    1719	0.0
    36	    1768	0.0
    37	    1819	0.0
    38	    1868	0.0
    39	    1918	0.0
    40	    1969	0.0
    41	    2019	0.0
    42	    2071	0.0
    43	    2119	0.0
    44	    2169	0.0
    45	    2219	0.0
    46	    2270	0.0
    47	    2318	0.0
    48	    2368	0.0
    49	    2418	0.0
    50	    2468	0.0
    51	    2518	0.0
    52	    2568	0.0
    53	    2618	0.0
    54	    2668	0.0
    55	    2718	0.0
    56	    2768	0.0
    57	    2822	0.0
    58	    2868	0.0
    59	    2921	0.0
    60	    2969	0.0
    61	    3062	0.0
    62	    3073	0.0
    63	    3118	0.0
    64	    3170	0.0
    65	    3221	0.0
    66	    3271	0.0
    67	    3318	0.0
    68	    3368	0.0
    69	    3418	0.0
    70	    3468	0.0
    71	    3518	0.0
    72	    3568	0.0
    73	    3629	0.0
    74	    3668	0.0
    75	    3718	0.0
    76	    3768	0.0
    77	    3818	0.0
    78	    3868	0.0
    79	    3919	0.0
    80	    3968	0.0
    81	    4019	0.0
    82	    4070	0.0
    83	    4120	0.0
    84	    4169	0.0
    85	    4218	0.0
    86	    4269	0.0
    87	    4318	0.0
    88	    4369	0.0
    89	    4419	0.0
    90	    4468	0.0
    91	    4518	0.0
    92	    4568	0.0
    93	    4618	0.0
    94	    4668	0.0
    95	    4720	0.0
    96	    4771	0.0
    97	    4820	0.0
    98	    4871	0.0
    99	    4922	0.0
   100	    4968	0.0
   101	    5019	0.0
   102	    5068	0.0
   103	    5121	0.0
   104	    5170	0.0
   105	    5226	0.0
   106	    5269	0.0
   107	    5318	0.0
   108	    5382	0.0
   109	    5429	0.0
   110	    5475	0.0
   111	    5522	0.0
   112	    5567	0.0
   113	    5618	0.0
   114	    5669	0.0
